Name,Label,Canton_name
Corsier (GE),10,Genève
Corsier-sur-Vevey,19,Fribourg
Cortaillod,24,La Chaux-de-Fonds
Cortébert,18,Delémont
Cossonay,9,Lausanne
Cottens (FR),19,Fribourg
Cottens (VD),9,Lausanne
Courchapoix,18,Delémont
Courchavon,18,Delémont
Courgenay,18,Delémont
Courgevaux,19,Fribourg
Courlevon,19,Fribourg
Courrendlin,18,Delémont
Courroux,18,Delémont
Court,18,Delémont
Courtedoux,18,Delémont
Courtelary,18,Delémont
Courtepin,19,Fribourg
Courtételle,18,Delémont
Crans-près-Céligny,9,Lausanne
Crassier,9,Lausanne
Cremin,9,Lausanne
Cresciano,12,Lugano
Cressier (FR),19,Fribourg
Cressier (NE),24,La Chaux-de-Fonds
Crissier,9,Lausanne
Croglio,12,Lugano
Cronay,9,Lausanne
Croy,9,Lausanne
Crémines,18,Delémont
Crésuz,19,Fribourg
Cuarnens,9,Lausanne
Cuarny,9,Lausanne
Cudrefin,19,Fribourg
Cugnasco-Gerra,12,Lugano
Cugy (FR),19,Fribourg
Cugy (VD),9,Lausanne
Cunter,15,Chur
Cureglia,12,Lugano
Curio,12,Lugano
Curtilles,19,Fribourg
Céligny,9,Lausanne
Dachsen,5,Zürich
Dagmersellen,4,Luzern
Daillens,9,Lausanne
Dallenwil,4,Luzern
Dalpe,12,Lugano
Damphreux,18,Delémont
Dardagny,10,Genève
Davos,15,Chur
Degersheim,21,St. Gallen
Deisswil bei Münchenbuchsee (Urne commune),16,Bern
Deitingen,13,Solothurn
Delley-Portalban,19,Fribourg
Delémont,18,Delémont
Denens,9,Lausanne
Denges,9,Lausanne
Densbüren,20,Aarau
Derendingen,13,Solothurn
Develier,18,Delémont
Diegten,3,Basel
Dielsdorf,5,Zürich
Diemerswil,16,Bern
Diemtigen,16,Bern
Diepflingen,3,Basel
Diepoldsau,21,St. Gallen
Dierikon,4,Luzern
Diessbach bei Büren,16,Bern
Diessenhofen,23,Frauenfeld
Dietikon,5,Zürich
Dietlikon,5,Zürich
Dietwil,4,Luzern
Dinhard,23,Frauenfeld
Dintikon,20,Aarau
Disentis/Mustér,15,Chur
Dittingen,3,Basel
Dizy,9,Lausanne
Domat/Ems,15,Chur
Domdidier,19,Fribourg
Domleschg,15,Chur
Dompierre (FR),19,Fribourg
Dompierre (VD),19,Fribourg
Donat,15,Chur
Donneloye,9,Lausanne
Doppleschwand,4,Luzern
Dorf,5,Zürich
Dornach,3,Basel
Dorénaz,6,Sion
Dottikon,20,Aarau
Dotzigen,16,Bern
Dozwil,23,Frauenfeld
Drei Höfe,16,Bern
Duggingen,3,Basel
Duillier,9,Lausanne
Dulliken,13,Solothurn
Dully,9,Lausanne
Dägerlen,5,Zürich
Dällikon,5,Zürich
Däniken,13,Solothurn
Dänikon,5,Zürich
Därligen,16,Bern
Därstetten,16,Bern
Dättlikon,5,Zürich
Démoret,9,Lausanne
Dörflingen,22,Schaffhausen
Döttingen,20,Aarau
Dübendorf,5,Zürich
Düdingen,19,Fribourg
Dürnten,5,Zürich
Dürrenroth,16,Bern
Dürrenäsch,20,Aarau
Ebersecken,4,Luzern
Ebikon,4,Luzern
Ebnat-Kappel,21,St. Gallen
Echallens,9,Lausanne
Echandens,9,Lausanne
Echarlens,19,Fribourg
Echichens,9,Lausanne
Eclépens,9,Lausanne
Ecublens (FR),9,Lausanne
Ecublens (VD),9,Lausanne
Ederswiler,18,Delémont
Effingen,20,Aarau
Egerkingen,13,Solothurn
Egg,5,Zürich
Eggenwil,20,Aarau
Eggerberg,6,Sion
Eggersriet,21,St. Gallen
Eggiwil,16,Bern
Eglisau,5,Zürich
Egliswil,20,Aarau
Egnach,23,Frauenfeld
Egolzwil,4,Luzern
Ehrendingen,20,Aarau
Eich,4,Luzern
Eichberg,21,St. Gallen
Eiken,20,Aarau
Einsiedeln,7,Rapperswil-Jona
Eischoll,6,Sion
Eisten,6,Sion
Elfingen,20,Aarau
Elgg,23,Frauenfeld
Ellikon an der Thur,23,Frauenfeld
Elsau,5,Zürich
Embd,6,Sion
Embrach,5,Zürich
Emmen,4,Luzern
Emmetten,7,Rapperswil-Jona
Endingen,20,Aarau
Engelberg,0,Altdorf (UR)
Enges,24,La Chaux-de-Fonds
Ennetbaden,20,Aarau
Ennetbürgen,4,Luzern
Ennetmoos,4,Luzern
Entlebuch,4,Luzern
Epalinges,9,Lausanne
Ependes (FR),19,Fribourg
Ependes (VD),9,Lausanne
Eppenberg-Wöschnau,20,Aarau
Epsach,16,Bern
Eptingen,3,Basel
Ergisch,6,Sion
Eriswil,16,Bern
Eriz,16,Bern
Erlach,16,Bern
Erlen,23,Frauenfeld
Erlenbach (ZH),5,Zürich
Erlenbach im Simmental,16,Bern
Erlinsbach (AG),20,Aarau
Erlinsbach (SO),20,Aarau
Ermatingen,23,Frauenfeld
Ermensee,20,Aarau
Ernen,6,Sion
Erschwil,18,Delémont
Ersigen (Urne commune),16,Bern
Erstfeld,0,Altdorf (UR)
Eschenbach (LU),4,Luzern
Eschenbach (SG),21,St. Gallen
Eschenz,23,Frauenfeld
Eschert,18,Delémont
Eschlikon,23,Frauenfeld
Escholzmatt-Marbach,16,Bern
Essert-Pittet,9,Lausanne
Essertes,9,Lausanne
Essertines-sur-Rolle,9,Lausanne
Essertines-sur-Yverdon,9,Lausanne
Estavayer-le-Lac,19,Fribourg
Etagnières,9,Lausanne
Etoy,9,Lausanne
Ettingen,3,Basel
