Name,Label,Canton_name
Riom-Parsonz,15,Uzwil
Risch,4,Luzern
Riva San Vitale,12,Lugano
Rivaz,9,Lausanne
Roche (VD),6,Sion
Rochefort,24,La Chaux-de-Fonds
Roches (BE),18,Delémont
Rocourt,18,Delémont
Rodersdorf,18,Delémont
Roggenburg,18,Delémont
Roggliswil,4,Luzern
Roggwil (BE),16,Köniz
Roggwil (TG),21,St. Gallen
Rohr (SO),3,Basel
Rohrbach,16,Köniz
Rohrbachgraben,16,Köniz
Rolle,9,Lausanne
Romainmôtier-Envy,9,Lausanne
Romanel-sur-Lausanne,9,Lausanne
Romanel-sur-Morges,24,La Chaux-de-Fonds
Romanshorn,23,Frauenfeld
Romont (BE),19,Bern
Romont (FR),9,Lausanne
Romoos,4,Luzern
Ronco sopra Ascona,12,Lugano
Rongellen,15,Uzwil
Root,7,Kriens
Ropraz,9,Lausanne
Rorbas,5,Winterthur
Rorschach,21,St. Gallen
Rorschacherberg,21,St. Gallen
Rossa,15,Uzwil
Rossemaison,16,Köniz
Rossenges,9,Lausanne
Rossens (FR),19,Bern
Rossinière,19,Bern
Rothenbrunnen,21,St. Gallen
Rothenburg,4,Luzern
Rothenfluh,3,Basel
Rothenthurm,21,St. Gallen
Rothrist,16,Köniz
Rottenschwil,5,Winterthur
Rougemont,6,Sion
Roveredo (GR),12,Lugano
Rovio,12,Lugano
Rovray,9,Lausanne
Rubigen,16,Köniz
Rudolfstetten-Friedlisberg,5,Winterthur
Rue,19,Bern
Rueyres,9,Lausanne
Rueyres-les-Prés,9,Lausanne
Rumendingen,16,Köniz
Rumisberg,16,Köniz
Rupperswil,20,Zürich
Russikon,5,Winterthur
Russin,10,Genève
Russy,9,Lausanne
Ruswil,4,Luzern
Römerswil,4,Luzern
Röschenz,18,Delémont
Röthenbach im Emmental,16,Köniz
Rüderswil,16,Köniz
Rüdlingen,5,Winterthur
Rüdtligen-Alchenflüh,16,Köniz
Rüeggisberg,16,Köniz
Rüegsau,16,Köniz
Rüfenach,20,Zürich
Rümikon,20,Zürich
Rümlang,20,Zürich
Rümligen,16,Köniz
Rümlingen,20,Zürich
Rünenberg,3,Basel
Rüschegg,16,Köniz
Rüschlikon,20,Zürich
Rüte,14,Teufen (AR)
Rüthi (SG),21,St. Gallen
Rüti (ZH),5,Winterthur
Rüti bei Büren,16,Köniz
Rüti bei Lyssach,16,Köniz
Rütschelen,16,Köniz
Rüttenen,13,Zuchwil
S-chanf,15,Uzwil
Saanen,6,Sion
Saas,15,Uzwil
Saas-Almagell,6,Sion
Saas-Balen,6,Sion
Saas-Fee,6,Sion
Saas-Grund,6,Sion
Sachseln,7,Kriens
Safenwil,16,Köniz
Safiental,15,Uzwil
Safnern,19,Bern
Sagogn,15,Uzwil
Saicourt,24,La Chaux-de-Fonds
Saignelégier,16,Köniz
Saillon,6,Sion
Saint-Aubin (FR),9,Lausanne
Saint-Aubin-Sauges,24,La Chaux-de-Fonds
Saint-Barthélemy (VD),9,Lausanne
Saint-Blaise,24,La Chaux-de-Fonds
Saint-Brais,18,Delémont
Saint-Cergue,9,Lausanne
Saint-George,9,Lausanne
Saint-Gingolph,6,Sion
Saint-Imier,16,Köniz
Saint-Livres,9,Lausanne
Saint-Légier-La Chiésaz,9,Lausanne
Saint-Léonard,6,Sion
Saint-Martin (FR),9,Lausanne
Saint-Martin (VS),6,Sion
Saint-Maurice,6,Sion
Saint-Oyens,9,Lausanne
Saint-Prex,10,Genève
