Aadorf,6
Aarau,1
Aarberg,7
Aarburg,4
Aarwangen,7
Abtwil,6
Aclens,1
Acquarossa,3
Adelboden,7
Adligenswil,0
Adlikon,7
Adliswil,4
Aedermannsdorf,2
Aefligen,7
Aegerten,7
Aesch (BL),0
Aesch (LU),2
Aesch (ZH),4
Aeschi (SO),0
Aeschi bei Spiez,7
Aeugst am Albis,4
Affeltrangen,7
Affoltern am Albis,4
Affoltern im Emmental,7
Agarn,2
Agiez,1
Agno,3
Aigle,1
Aire-la-Ville,0
Airolo,3
Alberswil,2
Albinen,2
Albula/Alvra,2
Alchenstorf,7
Allaman,1
Alle,3
Allmendingen,7
Allschwil,0
Alpnach,7
Alpthal,7
Altbüron,2
Altdorf (UR),2
Altendorf,6
Alterswil,2
Altikon,7
Altishofen,2
Altnau,4
Alto Malcantone,3
Altstätten,6
Altwis,2
Amden,6
Amlikon-Bissegg,7
Ammerswil,6
Amriswil,6
Amsoldingen,7
Andeer,5
Andelfingen,4
Andermatt,2
Andiast,2
Andwil (SG),2
Anières,1
Anniviers,2
Anwil,5
Appenzell,2
Apples,1
Aranno,3
Arbaz,2
Arbedo-Castione,3
Arboldswil,7
Arbon,4
Arch,7
Arconciel,2
Ardon,2
Arisdorf,4
Aristau,6
Arlesheim,1
Arnex-sur-Nyon,1
Arnex-sur-Orbe,1
Arni (AG),6
Arni (BE),7
Arogno,3
Arosa,7
Arth,2
Arzier-Le Muids,0
Ascona,3
Assens,0
Astano,3
Attalens,2
Attelwil,7
Attinghausen,2
Attiswil,7
Au (SG),6
Aubonne,1
Auboranges,2
Auenstein,4
Augst,4
Ausserberg,2
Auswil,7
Autafond,2
Autigny,2
Auw,6
Avegno Gordevio,3
Avenches,1
Avers,7
Avry,2
Avully,1
Avusy,1
Ayent,2
Baar,2
Bachenbülach,4
Bachs,7
Bad Ragaz,6
Bad Zurzach,6
Baden,1
Bagnes,2
Baldingen,6
Balerna,3
Balgach,6
Ballaigues,4
Ballens,0
Ballwil,2
Balm bei Günsberg,0
Balsthal,2
Baltschieder,2
Bangerten,7
Bannwil,7
Barberêche,2
Bardonnex,3
Bargen (BE),7
Bargen (SH),7
Bas-Intyamon,2
Bas-Vully,0
Basadingen-Schlattingen,7
Basel,1
Basse-Allaine,3
Bassersdorf,4
Bassins,0
Bauen,2
Baulmes,5
Bauma,7
Bavois,4
Beatenberg,7
Beckenried,7
Bedano,3
Bedigliora,3
Bedretto,3
Beggingen,7
Begnins,1
Beinwil (Freiamt),6
Beinwil (SO),2
Beinwil am See,4
Belfaux,2
Bellach,0
Bellevue,1
Bellikon,6
Bellinzona,3
Bellmund,5
Bellwald,2
Belmont-sur-Lausanne,1
Belmont-sur-Yverdon,1
Belp,7
Belprahon,0
Benken (SG),2
Benken (ZH),7
Bennwil,7
